Observation ID,Area,Type,Status,Observation,Evidence,Decision or follow-up
GC-HARNESS-064,Gateway streaming-restart fault ownership and delimiter,Harness P2 false-negative and slow-failure risk,Corrected locally; focused contracts and exact real-Gateway journey passed; complete campaign pending,"The restart fault originally launched the dev supervisor, so stopping its launcher did not guarantee termination of the actual Gateway child. Its synthetic prefix also ended without a safe lexical delimiter, so ChatStreamSecretProjector correctly retained the undecided suffix until terminal settlement and the five-second provider watchdog obscured the intended crash point.","artifacts/verification/2026-07-30T12-53-55-272Z-usability-72b1e1fd; artifacts/verification/2026-07-30T13-34-44-448Z-usability-e6f625bd; scripts/verification/lib/scenarios/gateway-chat-fault-recovery-lane.mjs; scripts/verification/lib/scenarios/deterministic-llm-stub.test.mjs","Run the fault lane against the built Gateway process it owns directly and emit STREAMING_BEFORE_RESTART followed by one safe space. Require process termination before the five-second watchdog, exactly one restart dispatch, a publicly visible retained prefix, and no replay. Focused fixture contracts pass and artifacts/verification/2026-07-30-durable-restart-final proves the corrected 9/9 journey with exact-root redaction green."
GC-HARNESS-065,Final source-proof redaction ordering,Harness P2 secret-scan false-green risk,Closed in complete exploratory campaign; final-SHA rerun pending,"The first 120/120 complete exploratory campaign scanned its exact artifact root and then persisted diagnostics/usability-source-state.json. The final handed-off bytes therefore differed from the tree inspected by the in-process leakage gate even though an immediate manual scan of the post-write root was clean.","artifacts/verification/2026-07-30T14-14-50-586Z-usability-6adfa6e6; scripts/verification/lib/scenarios/usability-final-integrity.mjs; scripts/verification/lib/scenarios/usability-final-integrity.test.mjs; artifacts/verification/2026-07-30T14-52-57-590Z-usability-aeec8486","Persist the completed source-state proof before scanning the exact root. An injected bearer fixture in that final file is rejected, focused tests pass 5/5, the replacement complete campaign passes 120/120 with its in-process gate, and an independent exact-root scan passes."
GC-HARNESS-066,Retained browser-trace payload hygiene,Harness P2 secret-evidence contamination risk,Corrected locally; controlled real retained-failure exact-root scan passed; final full visual rerun pending,"The first clean-SHA visual run retained eight failing Playwright traces. Each ZIP archived verifier sources and complete API response payloads, so unrelated synthetic credential-shaped literals in runner code and bundled skill instructions correctly triggered the strengthened compressed-artifact scanner. The values were test canaries or documentation placeholders rather than live credentials, but the root cannot be accepted as clean evidence.","artifacts/verification/2026-07-30T16-23-30-059Z-visual-regression-bdeb64ff; scripts/verification/lib/scenarios/browser-helpers.mjs; scripts/verification/lib/scenarios/browser-helpers.test.mjs; scripts/verification/lib/scenarios/visual-regression-lane.mjs; scripts/verification/lib/scenarios/visual-regression-lane.test.mjs; scripts/verify-artifact-redaction.mjs; artifacts/verification/2026-07-30T17-16-36-184Z-visual-regression-2a4b5ba0","Keep retained trace screenshots and the action timeline plus the separately captured final screenshot console output Gateway/browser diagnostics and bounded query-free loopback method/path/status or failure-class metadata, but disable redundant verifier-source and DOM/network-payload snapshots. The bounded probe rejects malformed booleans and refuses rebaseline or multi-scenario execution. Focused helper and visual contracts pass 16/16; one real filtered run retained a 3445103-byte controlled-failure trace recorded 57 non-truncated network rows and passed the compressed exact-root redaction scanner. Keep the historical failed root as diagnostic non-evidence and rerun all 408 visual scenarios at the final SHA."
GC-HARNESS-067,Direct browser-lane inherited secret isolation,Harness P2 personal-environment contamination risk,Corrected locally; focused contracts and controlled real proof passed through an intentional one-scenario lane failure; final browser gates pending,"Direct accessibility surface visual and visual-rebaseline dispatches did not forward the repository secret-key inventory into their Gateway and UI stack environment omit lists. The visual lane did not accept an omit list at all. A local shell could therefore leak unrelated provider channel database certificate or cookie credentials into deterministic verification subprocesses even when the retained artifact happened to scan clean.","scripts/verification/run.mjs; scripts/verification/lib/scenarios/accessibility-smoke-lane.mjs; scripts/verification/lib/scenarios/surface-regression-lane.mjs; scripts/verification/lib/scenarios/visual-regression-lane.mjs; scripts/verification/lib/runtime.mjs; artifacts/verification/2026-07-30T17-16-36-184Z-visual-regression-2a4b5ba0","Collect the known secret variable names for every direct browser lane and all; pass them through gatewayEnvOmit and uiEnvOmit; then apply only the lane-owned deterministic fixture values. Visual surface accessibility and orchestration contracts pass 53/53 and runtime environment merge contracts pass 4/4. The controlled visual subprocess completed with deterministic fixtures and its exact artifact root passed redaction."
GC-HARNESS-068,Pending raw browser request visibility,Harness nonblocking P3 evidence limitation,Documented; optional follow-up,"The bounded native network metadata records completed responses and normalized request failures rather than request-start rows. A raw asset request that remains pending at the instant of a browser failure is therefore inferred from the Playwright action timeline and browser diagnostics instead of appearing as a native pending-request row.","scripts/verification/lib/scenarios/browser-helpers.mjs; artifacts/verification/2026-07-30T17-16-36-184Z-visual-regression-2a4b5ba0; independent retained-trace review","This does not hide completed or failed loopback traffic and does not interrupt a journey: API request starts remain in the in-app diagnostics while native metadata carries method path status or normalized failure class and explicit truncation state. Consider a bounded pending-request projection later if raw asset startup diagnosis becomes ambiguous."
GC-HARNESS-069,Node 22 node:test JUnit source attribution,Harness P2 final-gate false-negative portability defect,Corrected locally; focused and real Node 22 action proof passed; complete campaign rerun pending,"The first final-mode clean-SHA campaign passed 24 scenarios including the full storage suite, then rejected five selected storage action assertions because Node 22.23.1's JUnit reporter omitted optional testcase file attributes that Node 24 had emitted. The five tests themselves passed and appeared exactly once by title.","artifacts/verification/preqa-final-usability-42727c252; artifacts/verification/preqa-storage-action-proof-node22-fix-42727c252; scripts/verification/lib/scenarios/usability-action-evidence.mjs; scripts/verification/lib/scenarios/usability-lane.test.mjs","Partition node:test action proofs by exact source file and allow missing-file attribution only to the validated single command-owned file. Preserve fail-closed rejection for explicit mismatched files ambiguous ownership duplicates failed assertions and nonzero commands. The focused harness pack passes 38/38; a real pinned-Node-22 proof passes all five selected assertions with distinct per-source stdout and stderr logs; both exact artifact roots pass independent redaction scans."
GC-HARNESS-070,Lazy Settings editable-control targeting,Harness P2 false-green and false-negative selector ambiguity,Corrected locally; focused unit component and real Chromium proof passed; complete campaign rerun pending,"During the second final-mode campaign the lazy Workspaces section had not mounted when exact Name lookup first ran. About 70 ms later the fuzzy /Name/ fallback found three visible editable controls and silently selected the first: the Citadel Selected name input containing Company. The retained video shows that field receive Usability browser workspace while the create-workspace Name stays empty; the real button then correctly returned Workspace name is required before any POST.","artifacts/verification/preqa-final-usability-fd310329b-r2; artifacts/verification/preqa-focused-workspace-locator-fix; apps/mission-control-next/src/features/native-routes/settings/sections/WorkspacesSection.tsx; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs","Give the create field the unique accessible name New workspace name and target it exactly. Reject any selector candidate with multiple visible editable matches rather than choosing the first fuzzy substring. Pinned Node harness tests pass 80/80, focused component coverage and Mission Control typecheck pass, and the real focused Chromium bundle passes all four exact steps including create make-active archive restore and canonical active lifecycle readback. Both artifact roots pass exact-root redaction."
GC-VISUAL-001,Ops deterministic visual baselines,Expected evidence drift,Closed in focused rebaseline; final full visual rerun pending,"The first clean-SHA visual gate reported 400 passed and 8 failed. Eight dark-theme Ops Notifications Costs and Kanban comparisons exceeded the four-percent threshold because new deterministic routing cost and agentic-run fixtures replaced stale empty-state baselines. Corresponding light baselines contained the same stale content but remained below threshold.","artifacts/verification/2026-07-30T16-23-30-059Z-visual-regression-bdeb64ff; artifacts/verification/2026-07-30T16-48-41-728Z-visual-rebaseline-36dca034; artifacts/verification/2026-07-30T16-50-16-896Z-visual-regression-3a9e9e91","Independent review found no dimension mismatch clipping overlap horizontal overflow console error or page error. Refresh all eight variants for exactly the three affected routes rather than only the red rows; the repository rebaseline changed exactly 24 PNGs and the update-disabled focused rerun passed 24/24. The failed full root is diagnostic only and remains non-evidence under GC-HARNESS-066."
GC-UX-001,Ops responsive status polish,Qualitative non-blocking P3,Documented; optional follow-up,"The new four-column Notifications layout ellipsizes some status chips at desktop widths, and Kanban relative-age labels change while sequential visual variants are captured.","artifacts/verification/2026-07-30T16-23-30-059Z-visual-regression-bdeb64ff; independent baseline/current/diff review across all eight failed comparisons","Neither observation clips controls creates horizontal overflow hides the underlying status blocks a journey or causes console/page errors. Keep as optional responsive-copy and deterministic-clock polish; they do not block the pre-QA verdict. The cited failed root is diagnostic non-evidence under GC-HARNESS-066 but remains usable for qualitative image review."
GC-HARNESS-071,Strict editable-control resolution,Harness P2 false-green and false-negative selector ambiguity,Corrected locally; focused unit UI and full action-bundle proof passed; complete campaign rerun pending,"At clean SHA edd88625d81e4043c48adc95b795f1dec4ec3975 the third final-mode campaign passed 34 scenarios before Settings Core/Auth/Provider found six exact Provider controls. The prior resolver evaluated placeholder and fuzzy candidates on every poll before the exact label received its full lazy-mount deadline, so a unique unrelated partial match could be accepted; returning candidate.nth(i) also allowed later DOM reordering to retarget the action.","artifacts/verification/preqa-final-usability-edd88625d-r3; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; artifacts/verification/preqa-focused-strict-editable-all-actions-r4","Resolve only an exact accessible label, poll it for the full deadline, reject duplicate or noneditable matches, and return the strict base locator without an ordinal. Pinned Node 22 harness tests pass 85/85, independent review found no remaining issue, the relevant Mission Control UI tests pass 45/45 with typecheck and formatting clean, and the focused artifact passes 10/10 scenarios plus 74/74 actions with zero failed, degraded, skipped, or not-configured rows. The third final-mode and earlier r1/r2/r3 focused roots remain diagnostic non-pass evidence; the r3 final-mode root and passing r4 focused root both pass exact-root redaction."
GC-ENV-006,Storage suite transient SQLite open failure,Environment ambient non-reproducible,Classified as environment; no product fix,"During the first final-mode campaign at 4846b885f's parent a486932d1, one storage test (does not invent or backfill missing parent owners in a repair-only sparse database) failed instantly at 1.2ms with ERR_SQLITE_ERROR errcode 14 unable to open database file, while creating a real database under os.tmpdir(). The other 1526 tests passed. The file's four sibling in-memory cases passed in the same process. Disk had 101.9 GiB free and the temporary root was intact, so this is neither GC-ENV-004 ENOSPC nor a wiped volume.","artifacts/verification/2026-07-30T22-00-34-136Z-usability-45d6e111 diagnostics/fast.test.storage.stdout.log. The identical unchanged storage command then passed 1527 tests with 1447 passed and 80 intentionally skipped, and the isolated file passed 5/5 in 618ms against the same temporary directory.","No product or test change. Recorded so a single transient CANTOPEN under heavy parallel SQLite creation is not mistaken for a storage defect. Rerun the identical unchanged command before attributing any such stop."
GC-HARNESS-072,Coverage-instrumented suites exceeding the default test timeout,Harness P1 false-failure under v8 coverage,Corrected and merged,"Three Gateway shard-1 suites failed the usability coverage lane on timing rather than behaviour, blocking four consecutive final-mode campaigns before any usability scenario ran. skill-hub-review-service and external-source-route-service each build a real Storage, CAS artifact-store, and temporary-filesystem harness per case; under v8 coverage the former measured between 42 and 138 seconds across runs on one host, with individual cases past the 15-second default. runtime-release-trust-service is not slow: it awaited a background fetch using vi.waitFor's one-second default and missed it at 1451ms under load. Lowering --maxWorkers from 4 to 2 was tested and rejected: it cut failures from 5 to 1 but cost 2.2x wall time and left one case still over budget.","Failure evidence in artifacts/verification/2026-07-30T22-37-01-107Z-usability-1c4892f9 and 2026-07-31T00-12-24-909Z-usability-2b2d50db. After the fix, the unchanged shard-1 command passed 221/221 files and 2089/2089 tests at --maxWorkers=4, and the complete campaign passed 120/120 at artifacts/verification/2026-07-31T01-25-11-233Z-usability-bc5563b0.","Fixed in commit 4846b885f: an explicit 120-second suite budget on the two harness-backed suites, and a 15-second bound on the single vi.waitFor precondition. The close, refresh, and tracked-task deadlines that define runtime-release-trust behaviour are unchanged. These three files predate this branch and are otherwise unmodified by it, so the fragility was latent on main. Shards 2 through 4 have not run under comparable load and may carry the same pattern."
GC-HARNESS-073,Fast lane never cleans its per-command temporary roots,Harness P2 progressive environment degradation,Corrected and merged; proven end to end,"resolveFastLaneCommandEnv points TEMP, TMP, and TMPDIR at a per-command directory beneath the temporary base root and creates it, but nothing ever removes it. The storage suite alone creates roughly 1200 SQLite databases per run. Residue accumulated to 889 files and 4.97 GB across three consecutive campaign attempts, and the same skill-hub-review-service suite degraded monotonically from a pass to 89.5s with 5 failures to 174s with 9 failures as the residue grew. Retrying without clearing the residue actively worsened each attempt.","Measured across artifacts/verification/2026-07-30T22-00-34-136Z-usability-45d6e111, 2026-07-30T22-37-01-107Z-usability-1c4892f9, and 2026-07-31T00-12-24-909Z-usability-2b2d50db. Clearing the directories reclaimed 5.4 GiB and returned the suite to 96s with 5 failures, isolating the residual cause as GC-HARNESS-072.","Fixed in commit bef4e3968 (PR #242): each command now starts from an empty scratch root and drops it afterwards, including on the failing path, with best-effort removal that reports rather than throws so a locked Windows handle cannot fail a command. Proven end to end by the recertification campaign at that SHA: zero surviving fast.test.* roots afterwards, against 889 files and 4.97 GB previously, and 2.8 GiB of disk consumed for the run against roughly 26 GiB before."
GC-ENV-007,Load-dependent route-ready timeouts in the visual lane,Environment ambient non-reproducible,Classified as environment; no product fix,"Two full 408-scenario visual runs at bef4e3968 each failed a small number of desktop-dark scenarios on route readiness rather than on image comparison, and the failing scenarios moved between runs. Run one failed only visual-regression.ops-activity.desktop-dark on a 60-second route-ready wait for the Activity feed heading. Run two passed that scenario and instead failed visual-regression.ops-sessions.desktop-dark on the same 60-second wait. No route is broken: every variant that reached comparison passed, and the isolated ops-activity desktop-dark scenario passed 1/1 when rerun alone.","artifacts/verification/2026-07-31T14-50-30-921Z-visual-regression-15ce18a6 (407 passed, 1 failed), artifacts/verification/2026-07-31T15-13-09-491Z-visual-regression-0e86717c (406 passed, 2 failed), and artifacts/verification/2026-07-31T15-08-00-347Z-visual-regression-24a551d0 (isolated rerun, 1/1 passed).","No product or baseline change. An isolated rerun is explicitly not accepted as proof of ambience here, because GC-HARNESS-072 established that a suite can pass alone and still fail reproducibly under full-lane load; the moving failure set across two full runs is the actual evidence. No baseline was refreshed: every comparison that executed passed, so there is no stale-baseline signal to act on."
GC-HARNESS-074,Shared console health assertion lacks the SSE recovery tolerance,Harness P2 false-failure on legitimate stream recovery,Identified; not fixed,"assertBrowserConsoleHealthy in scripts/verification/lib/scenarios.mjs allows only favicon, React DevTools, and React Router future-flag console messages. It has no equivalent of the GC-HARNESS-061 EventSource recovery tolerance, which lives in browser-helpers.mjs and is wired only into the usability browser-action lane. A transient event-stream reconnect, which GC-HARNESS-061 already established as legitimate client behaviour, therefore fails any scenario in the visual, surface, accessibility, and runtime-truth lanes that observes it.","artifacts/verification/2026-07-31T15-13-09-491Z-visual-regression-0e86717c failed visual-regression.settings-local-ai.desktop-dark on 'console errors: Failed to load resource: net::ERR_CONNECTION_FAILED'. Its retained browser diagnostic records gatewayReachable true and GET /api/v1/local-ai/readiness completing with status 200, so the application was healthy and only the stream connection was transiently refused.","Not fixed. The fix is to give the shared assertion the same recovery semantics GC-HARNESS-061 applies in the browser-action lane, so a reconnect that completes within its deadline cannot fail an unrelated scenario. Deferred because it would mint a new candidate SHA and require a full recertification, and because it would not address the separate GC-ENV-007 route-ready timeouts."
